Time: 0.436964 s, Object: 3, Region: place
Time: 0.0503988 s, Object: 1, Region: pick
Time: 0.427081 s, Object: 1, Region: place
Time: 0.0913232 s, Object: 2, Region: pick
Time: 0.402533 s, Object: 2, Region: place
Time: 0.0568832 s, Object: 3, Region: pick
Time: 0.407829 s, Object: 3, Region: place
Time: 0.0530755 s, Object: 4, Region: pick
Time: 0.445856 s, Object: 4, Region: place
Time: 0.0828595 s, Object: 5, Region: pick
Time: 0.410643 s, Object: 5, Region: place
Time: 0.0714904 s, Object: 6, Region: pick
Time: 0.430733 s, Object: 6, Region: place
Time: 0.0551942 s, Object: 7, Region: pick
Time: 0.404809 s, Object: 7, Region: place
Time: 0.0551522 s, Object: 8, Region: pick
Time: 0.0605025 s, Object: 1, Region: pick
Time: 0.423344 s, Object: 1, Region: place
Time: 0.0499531 s, Object: 2, Region: pick
Time: 0.424144 s, Object: 2, Region: place
Time: 0.064018 s, Object: 3, Region: pick
Time: 0.409661 s, Object: 3, Region: place
Time: 0.0558799 s, Object: 4, Region: pick
Time: 0.0510908 s, Object: 1, Region: pick
Time: 0.406318 s, Object: 1, Region: place
Time: 0.0638063 s, Object: 2, Region: pick
Time: 0.457782 s, Object: 2, Region: place
Time: 0.0590142 s, Object: 3, Region: pick
Time: 0.442386 s, Object: 3, Region: place
Time: 0.0696884 s, Object: 4, Region: pick
Time: 0.402476 s, Object: 4, Region: place
Time: 0.0509942 s, Object: 5, Region: pick
Time: 0.427163 s, Object: 5, Region: place
Time: 0.0661268 s, Object: 1, Region: pick
Time: 0.407572 s, Object: 1, Region: place
Time: 0.0696351 s, Object: 2, Region: pick
Time: 0.42375 s, Object: 2, Region: place
Time: 0.0740662 s, Object: 3, Region: pick
Time: 0.403549 s, Object: 3, Region: place
Time: 0.0547575 s, Object: 4, Region: pick
Time: 0.0727403 s, Object: 1, Region: pick
Time: 0.421029 s, Object: 1, Region: place
Time: 0.0732378 s, Object: 2, Region: pick
Time: 0.415074 s, Object: 2, Region: place
Time: 0.0637847 s, Object: 3, Region: pick
Time: 0.385308 s, Object: 3, Region: place
Time: 0.0494899 s, Object: 4, Region: pick
Time: 0.478616 s, Object: 4, Region: place
Time: 0.0568944 s, Object: 5, Region: pick
Time: 0.458276 s, Object: 5, Region: place
Time: 0.0612816 s, Object: 6, Region: pick
Time: 0.0541164 s, Object: 1, Region: pick
Time: 0.434172 s, Object: 1, Region: place
Time: 0.0575519 s, Object: 2, Region: pick
Time: 0.442418 s, Object: 2, Region: place
Time: 0.0789854 s, Object: 3, Region: pick
Time: 0.430613 s, Object: 3, Region: place
Time: 0.094238 s, Object: 4, Region: pick
Time: 0.424185 s, Object: 4, Region: place
Time: 0.112821 s, Object: 5, Region: pick
Time: 0.44085 s, Object: 5, Region: place
Time: 0.069166 s, Object: 6, Region: pick
Time: 0.403191 s, Object: 6, Region: place
Time: 0.0560892 s, Object: 7, Region: pick
Time: 0.455996 s, Object: 7, Region: place
Time: 0.0614555 s, Object: 1, Region: pick
Time: 0.40502 s, Object: 1, Region: place
Time: 0.0579676 s, Object: 2, Region: pick
Time: 0.409698 s, Object: 2, Region: place
Time: 0.062783 s, Object: 3, Region: pick
Time: 0.413043 s, Object: 3, Region: place
Time: 0.0688551 s, Object: 4, Region: pick
Time: 0.491727 s, Object: 4, Region: place
Time: 0.0574687 s, Object: 5, Region: pick
Time: 0.436009 s, Object: 5, Region: place
Time: 0.0636706 s, Object: 6, Region: pick
Time: 0.403919 s, Object: 6, Region: place
Time: 0.147812 s, Object: 7, Region: pick
Time: 0.387443 s, Object: 7, Region: place
Time: 0.0514202 s, Object: 8, Region: pick
Time: 0.456076 s, Object: 8, Region: place
Time: 0.0855863 s, Object: 9, Region: pick
Time: 0.426229 s, Object: 9, Region: place
Time: 0.057101 s, Object: 1, Region: pick
Time: 0.408963 s, Object: 1, Region: place
Time: 0.0516361 s, Object: 2, Region: pick
Time: 0.499913 s, Object: 2, Region: place
